Field,Value,Example,Description
class,plants,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,bloesch,pietersen,primary author
contact,bloesch@swissonline.ch,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Selous - Niassa Wildlife Corridor,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,snwc_plants,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2006,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,The Development and Management of the Selous - Niassa Wildlife Corridor,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,,none,usually none
seasonality_more,,,usually null
spatial_metadata,,WDPA 2010,what was used for spatial information
taxon,Plants,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,,"Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.selous-niassa-corridor.org/fileadmin/publications/SNWC_Vegetation_Study_2006.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2006,2008,the date of publication of the source
type,localinv,localinv,always localinv
